customer_id,first_name,last_name,email,country,city,signup_date,age,gender,employment_status,annual_income,customer_segment,kyc_status,is_duplicate_profile
100029,Anna,Nowak,user100029@example.com,Belgium,Rotterdam,2022-04-26,24,Female,Retired,68506.77,Young Professional,Verified,False
100030,Emma,Andersson,user100030@example.com,Netherlands,Brussels,2022-07-11,25,Female,Student,16800.81,Student,Verified,False
100031,Leo,Nowak,user100031@example.com,Belgium,Milan,2022-01-13,19,Female,,,Student,Pending,False
100032,Sofia,Rossi,user100032@example.com,Germany,Rotterdam,2024-02-13,59,Male,Employed,27469.13,Mass Market,Verified,False
100033,Sara,Andersson,user100033@example.com,Belgium,Stockholm,2022-01-19,64,Male,Employed,14816.9,Mass Market,,False
100034,Liam,Smit,user100034@example.com,Germany,Dublin,2022-02-16,41,Male,Employed,17114.21,Mass Market,Verified,False
100035,Finn,Smit,user100035@example.com,Portugal,Rotterdam,2023-10-05,59,Male,Employed,18015.24,Mass Market,Verified,False
100036,Sofia,Muller,user100036@example.com,Italy,Milan,2022-09-11,21,Male,Unemployed,8839.71,Student,Verified,False
100037,Sara,Nowak,user100037@example.com,Germany,Dublin,2023-05-23,29,Male,,,Mass Market,Verified,False
100038,Finn,Smit,user100038@example.com,Spain,Brussels,2022-04-28,51,Female,Retired,87207.81,SMB Owner,Verified,False
100039,Sara,Garcia,user100039@example.com,Netherlands,Madrid,2023-07-21,30,Male,Employed,19592.67,Mass Market,Verified,False
100040,Sofia,Muller,user100040@example.com,Belgium,Berlin,2022-12-02,32,Female,Employed,30529.66,Mass Market,Verified,False
100041,Mila,Smit,user100041@example.com,Germany,Brussels,2024-09-10,39,Male,Self-employed,61174.46,Premium,Verified,False
100042,Sofia,Rossi,user100042@example.com,France,Dublin,2023-04-16,30,Female,Employed,18670.73,Mass Market,Verified,False
100043,Sara,Silva,user100043@example.com,Germany,Madrid,2023-05-06,36,Female,Employed,37451.12,Young Professional,Rejected,False
100044,Daan,Silva,user100044@example.com,Belgium,Stockholm,2024-06-16,76,Female,Employed,43466.96,Retiree,Pending,False
100045,Emma,Muller,user100045@example.com,France,Dublin,2022-07-01,22,Female,Employed,49692.8,Mass Market,Pending,False
100046,Anna,Rossi,user100046@example.com,Germany,Warsaw,2024-10-16,49,Male,Employed,,SMB Owner,Verified,False
100047,Emma,Dubois,user100047@example.com,Ireland,Warsaw,2023-07-21,69,Female,Self-employed,31051.5,Retiree,Verified,False
100048,Sofia,Rossi,user100048@example.com,Netherlands,Paris,2023-09-07,43,Female,Employed,46345.99,Mass Market,Verified,False
100049,Lucas,Martin,user100049@example.com,France,Paris,2023-11-22,61,Female,Student,31741.0,Retiree,Pending,False
100050,Lucas,Dubois,user100050@example.com,DE,Dublin,2023-01-04,56,Female,Student,157201.36,Premium,Pending,False
100051,Anna,Muller,user100051@example.com,Germany,Paris,2022-11-22,33,Male,Employed,44551.4,Young Professional,Verified,False
100052,Julia,Rossi,user100052@example.com,Spain,Paris,2022-08-04,20,Female,Student,15923.84,Student,Verified,False
100053,Julia,Martin,user100053@example.com,Belgium,Dublin,2022-09-10,44,Female,Employed,43655.55,Mass Market,Verified,False
100054,Daan,Smit,user100054@example.com,Germany,Dublin,2024-05-20,34,Female,Employed,43531.7,Young Professional,Verified,False
100055,Anna,Nowak,user100055@example.com,Netherlands,Dublin,2023-05-06,51,Male,Employed,130724.88,SMB Owner,Pending,False
100056,Sara,Andersson,user100056@example.com,Netherlands,Stockholm,2022-10-14,39,Female,Employed,39369.0,Mass Market,Verified,False
100057,Sara,Dubois,user100057@example.com,France,Berlin,2023-07-04,35,Female,Employed,28360.36,Mass Market,Verified,False
100058,Leo,Andersson,user100058@example.com,Belgium,Warsaw,2023-09-29,42,Male,Employed,61354.77,Mass Market,Verified,False
100059,Daan,Andersson,user100059@example.com,FR,Berlin,2023-09-09,34,Female,Self-employed,41044.57,Young Professional,,False
100060,Julia,Garcia,user100060@example.com,Poland,Warsaw,2023-06-29,27,Male,Employed,,Young Professional,Verified,False
100061,Sofia,Nowak,user100061@example.com,France,Warsaw,2023-04-28,45,Female,Employed,,Premium,Verified,False
100062,Sara,Smit,user100062@example.com,Netherlands,Rotterdam,2022-05-14,26,Female,Self-employed,10492.31,Student,Verified,False
100063,Julia,Muller,user100063@example.com,Germany,Madrid,2022-09-19,62,Male,Retired,53515.87,Retiree,Verified,False
100064,Daan,Silva,user100064@example.com,Spain,Amsterdam,2022-12-16,30,Male,Employed,39291.62,Young Professional,Pending,False
100065,Sofia,Silva,user100065@example.com,Netherlands,Paris,2023-07-20,27,Male,Employed,35282.06,Young Professional,Verified,False
100066,Sofia,Nowak,user100066@example.com,Sweden,Stockholm,2024-07-08,19,Male,Self-employed,15747.21,Student,Verified,False
100067,Anna,Nowak,user100067@example.com,Poland,Berlin,2022-01-15,34,Male,Employed,,Young Professional,Verified,False
100068,Finn,Martin,user100068@example.com,Portugal,Berlin,2022-12-14,27,Female,Employed,24477.69,Young Professional,Verified,False
100069,Daan,Martin,user100069@example.com,Belgium,Rotterdam,2023-06-25,33,Female,Unemployed,57883.59,Young Professional,Verified,False
100070,Lucas,Silva,user100070@example.com,Portugal,Amsterdam,2022-12-05,23,Female,Retired,12556.0,Student,Verified,False
100071,Leo,Dubois,user100071@example.com,Netherlands,Milan,2022-08-26,39,Female,Employed,129962.24,Premium,Verified,False
100072,Julia,Nowak,user100072@example.com,Germany,Milan,2024-02-22,25,Male,Employed,39215.89,Young Professional,Verified,False
100073,Noah,Garcia,user100073@example.com,Belgium,Madrid,2023-06-25,27,Female,Employed,6446.53,Student,Rejected,False
100074,Liam,Rossi,user100074@example.com,France,Dublin,2024-05-14,48,Male,Unemployed,119053.84,Premium,Verified,False
100075,Leo,Muller,user100075@example.com,Belgium,Rotterdam,2022-08-21,21,Female,Student,9489.16,Student,Verified,False
100076,Julia,Garcia,user100076@example.com,Netherlands,Brussels,2024-05-04,18,Female,Employed,9893.31,Student,Pending,False
100077,Liam,Nowak,user100077@example.com,DE,Dublin,2023-08-15,21,Male,Employed,,Student,Verified,False
100078,Finn,Martin,user100078@example.com,Germany,Brussels,2024-02-05,28,Male,Employed,69352.88,Young Professional,Verified,False
100079,Liam,Andersson,user100079@example.com,Germany,Paris,2022-01-01,36,Male,Student,147673.25,Premium,Verified,False
100080,Noah,Jansen,user100080@example.com,Netherlands,Amsterdam,2022-03-19,58,Male,Employed,11938.14,Mass Market,Rejected,False
100081,Sofia,Muller,user100081@example.com,Germany,Milan,2024-04-01,81,Female,Employed,35612.47,Retiree,Verified,False
100082,Lucas,Garcia,user100082@example.com,Belgium,Paris,2024-11-10,47,Female,Employed,58202.54,SMB Owner,Verified,False
100083,Julia,Smit,user100083@example.com,Italy,Berlin,2023-01-22,26,Female,Self-employed,38032.08,Young Professional,Verified,False
100084,Anna,Garcia,user100084@example.com,Italy,Milan,2024-08-03,46,Male,Employed,36176.27,Mass Market,Verified,False
100085,Sofia,Smit,user100085@example.com,Belgium,Berlin,2024-10-05,39,Male,Retired,25860.02,Mass Market,Verified,False
100086,Mila,Garcia,user100086@example.com,Belgium,Warsaw,2024-03-30,35,Other,Retired,38510.0,Young Professional,Verified,False
100087,Emma,Muller,user100087@example.com,Italy,Paris,2024-01-20,65,Male,Employed,36811.36,Mass Market,Pending,False
100088,Emma,Muller,user100088@example.com,Ireland,Milan,2023-01-11,24,Male,Employed,3104.57,Student,Rejected,False
100089,Daan,Garcia,user100089@example.com,France,Rotterdam,2022-09-27,26,Female,Self-employed,7495.54,Student,Verified,False
100090,Anna,Nowak,user100090@example.com,Italy,Warsaw,2023-10-07,25,Female,Student,38262.47,Young Professional,Verified,False
100091,Daan,Jansen,user100091@example.com,Poland,Rotterdam,2022-01-06,21,Male,Employed,23714.82,Student,Verified,False
100092,Sofia,Muller,user100092@example.com,Netherlands,Amsterdam,2022-08-06,22,Male,Student,7161.83,Student,Verified,False
100093,Emma,Dubois,user100093@example.com,Ireland,Milan,2023-10-28,25,,Student,,Student,Verified,False
100094,Mila,Martin,user100094@example.com,Netherlands,Warsaw,2024-04-21,32,Female,Employed,,SMB Owner,Verified,False
100095,Mila,Smit,user100095@example.com,Belgium,Warsaw,2024-02-10,56,Male,,147779.06,Premium,Verified,False
100096,Mila,Dubois,user100096@example.com,Italy,Stockholm,2023-01-14,30,Male,Employed,19408.32,Young Professional,Verified,False
100097,Leo,Muller,user100097@example.com,France,Stockholm,2024-09-19,37,Female,Student,37346.19,Mass Market,Verified,False
100098,Mila,Muller,user100098@example.com,Netherlands,Stockholm,2024-01-19,47,Female,Self-employed,31190.62,Mass Market,Verified,False
100099,Daan,Garcia,user100099@example.com,France,Warsaw,2024-11-29,63,Male,Employed,18678.09,Mass Market,Verified,False
100100,Anna,Jansen,user100100@example.com,Nederland,Stockholm,2023-11-06,41,Female,Student,36486.24,Mass Market,Verified,False
100101,Mila,Nowak,user100101@example.com,Germany,Berlin,2024-09-28,42,Female,Employed,40722.02,Mass Market,Verified,False
100102,Leo,Dubois,user100102@example.com,Italy,Amsterdam,2022-06-08,40,Female,Employed,102771.82,SMB Owner,Verified,False
100103,Finn,Garcia,user100103@example.com,Germany,Dublin,2024-08-31,61,Female,Unemployed,27933.03,Mass Market,Verified,False
100104,Mila,Nowak,user100104@example.com,Spain,Warsaw,2024-10-26,24,Female,Retired,29088.34,Student,Verified,False
100105,Sofia,Andersson,user100105@example.com,France,Berlin,2023-10-20,33,Male,Employed,40794.75,Young Professional,Verified,False
100106,Mila,Silva,user100106@example.com,Portugal,Amsterdam,2023-03-07,71,,Unemployed,29607.81,Retiree,Pending,False
100107,Leo,Jansen,user100107@example.com,Italia,Stockholm,2023-03-03,32,Male,Unemployed,52077.59,Young Professional,Verified,False
100108,Mila,Andersson,user100108@example.com,Netherlands,Paris,2022-06-18,28,Female,Employed,31997.36,Young Professional,Verified,False
100109,Leo,Muller,user100109@example.com,Germany,Berlin,2024-08-24,32,Male,Retired,34066.88,Young Professional,Verified,False
100110,Sofia,Dubois,user100110@example.com,Belgium,Stockholm,2022-12-18,47,Female,,85167.3,SMB Owner,Pending,False
100111,Mila,Jansen,user100111@example.com,Netherlands,Rotterdam,2022-04-15,41,Male,Student,96475.54,Premium,Verified,False
100112,Finn,Smit,user100112@example.com,Spain,Amsterdam,2022-02-20,28,Male,Unemployed,62358.83,Young Professional,Verified,False
100113,Julia,Garcia,user100113@example.com,Spain,Milan,2023-04-09,36,Female,Employed,40951.47,Young Professional,Verified,False
100114,Anna,Martin,user100114@example.com,Portugal,Dublin,2024-01-08,54,Female,Employed,112766.9,Premium,Pending,False
100115,Emma,Dubois,user100115@example.com,Poland,Berlin,2023-07-21,25,Male,Self-employed,28873.68,Young Professional,Verified,False
100116,Sara,Rossi,user100116@example.com,Netherlands,Rotterdam,2024-02-29,77,Female,Employed,53226.37,Retiree,Verified,False
100117,Mila,Rossi,user100117@example.com,Netherlands,Milan,2024-07-03,27,Female,Student,12846.74,Student,Verified,False
100118,Julia,Muller,user100118@example.com,France,Berlin,2024-04-30,43,Female,Employed,23349.82,Mass Market,Verified,False
100119,Julia,Nowak,user100119@example.com,Netherlands,Stockholm,2022-10-28,47,Female,Employed,143616.76,Premium,Verified,False
100120,Daan,Garcia,user100120@example.com,Netherlands,Brussels,2024-05-26,49,Male,Employed,49199.32,Mass Market,Verified,False
100121,Noah,Muller,user100121@example.com,Spain,Berlin,2023-08-04,23,Male,Employed,13584.99,Student,Verified,False
100122,Liam,Nowak,user100122@example.com,Netherlands,Dublin,2024-02-02,26,Male,Employed,,Young Professional,Pending,False
100123,Finn,Martin,user100123@example.com,Italy,Stockholm,2022-01-30,64,Female,Retired,14446.78,Mass Market,Verified,False
100124,Daan,Nowak,user100124@example.com,Portugal,Warsaw,2024-09-06,23,Male,Employed,27050.83,Mass Market,Verified,False
100125,Emma,Garcia,user100125@example.com,Netherlands,Brussels,2022-07-14,56,Female,Employed,49501.88,SMB Owner,Verified,False
100126,Daan,Andersson,user100126@example.com,Belgium,Dublin,2023-03-10,65,Female,Employed,,Mass Market,Verified,False
100127,Noah,Jansen,user100127@example.com,Italy,Amsterdam,2023-04-11,36,Female,Student,,Young Professional,Verified,False
100128,Anna,Martin,user100128@example.com,Sweden,Paris,2024-11-22,44,Male,Student,49990.9,Mass Market,Verified,False
100129,Daan,Garcia,user100129@example.com,Netherlands,Stockholm,2022-04-08,24,Male,Employed,10421.81,Student,Verified,False
100130,Lucas,Rossi,user100130@example.com,Netherlands,Amsterdam,2022-01-06,31,Female,Self-employed,31804.69,Mass Market,Verified,False
100131,Daan,Silva,user100131@example.com,Ireland,Amsterdam,2022-10-24,42,Male,Student,52159.25,Premium,Verified,False
100132,Noah,Garcia,user100132@example.com,Ireland,Brussels,2024-01-05,18,Female,Employed,6358.59,Student,Verified,False
100133,Anna,Muller,user100133@example.com,Netherlands,Paris,2023-12-05,24,Female,Employed,13630.6,Student,Verified,False
100134,Noah,Silva,user100134@example.com,Belgium,Brussels,2023-04-13,74,Male,,0.0,Retiree,Verified,False
100135,Julia,Andersson,user100135@example.com,France,Brussels,2022-06-01,51,Male,Employed,46300.09,Mass Market,Pending,False
100136,Daan,Smit,user100136@example.com,Portugal,Dublin,2024-03-02,26,Male,Self-employed,5169.23,Student,Verified,False
100137,Finn,Garcia,user100137@example.com,Netherlands,Warsaw,2022-09-10,63,Male,Employed,32686.86,Retiree,Verified,False
100138,Noah,Rossi,user100138@example.com,France,Warsaw,2023-07-01,32,Male,Retired,,Young Professional,Verified,False
100139,Anna,Nowak,user100139@example.com,Italy,Warsaw,2024-08-23,40,Female,Self-employed,85162.07,SMB Owner,Verified,False
100140,Noah,Martin,user100140@example.com,Spain,Berlin,2024-10-02,62,Female,Student,67687.83,Mass Market,Verified,False
100141,Finn,Nowak,user100141@example.com,Netherlands,Milan,2024-04-11,66,Male,Student,29816.4,Retiree,Pending,False
100142,Lucas,Smit,user100142@example.com,Netherlands,Amsterdam,2022-08-03,20,Male,Employed,20023.82,Student,Verified,False
100143,Julia,Garcia,user100143@example.com,Germany,Madrid,2024-03-16,43,Female,Employed,51538.25,Mass Market,Verified,False
100144,Lucas,Silva,user100144@example.com,Italy,Stockholm,2022-09-15,46,Female,Student,53623.6,SMB Owner,Verified,False
100145,Julia,Smit,user100145@example.com,Netherlands,Rotterdam,2024-12-07,43,Male,Self-employed,56565.76,Mass Market,Verified,False
100146,Liam,Smit,user100146@example.com,Netherlands,Warsaw,2024-10-30,30,Male,Student,62896.74,Mass Market,Verified,False
100147,Mila,Andersson,user100147@example.com,Germany,Paris,2022-09-14,28,Male,Employed,29725.51,Young Professional,Verified,False
100148,Sara,Rossi,user100148@example.com,Netherlands,Madrid,2022-02-24,32,Female,Self-employed,20337.67,Young Professional,Verified,False
100149,Julia,Nowak,user100149@example.com,Netherlands,Stockholm,2022-05-21,47,Male,Retired,39998.43,Mass Market,Verified,False
100150,Daan,Martin,user100150@example.com,Netherlands,Berlin,2024-03-07,64,Female,Retired,40922.92,Retiree,Verified,False
100151,Lucas,Rossi,user100151@example.com,Belgium,Stockholm,2024-04-14,51,Male,Self-employed,20081.9,Mass Market,Verified,False
100152,Daan,Andersson,user100152@example.com,France,Brussels,2022-02-18,50,Female,Unemployed,88388.53,Premium,Verified,False
100153,Sofia,Smit,user100153@example.com,Germany,Warsaw,2022-02-11,28,Male,,52384.16,Young Professional,Pending,False
100154,Finn,Rossi,user100154@example.com,Netherlands,Brussels,2022-06-22,63,Male,Employed,147180.63,Premium,Pending,False
100155,Liam,Rossi,user100155@example.com,Germany,Dublin,2022-11-14,60,Female,Self-employed,184990.11,Premium,Verified,False
100156,Sofia,Nowak,user100156@example.com,Spain,Rotterdam,2022-12-23,45,,Employed,39164.34,Mass Market,Verified,False
100157,Leo,Garcia,user100157@example.com,Poland,Milan,2023-08-11,59,Female,Employed,,Mass Market,Verified,False
100158,Liam,Smit,user100158@example.com,Sweden,Madrid,2022-04-17,50,Male,Employed,56043.68,SMB Owner,Verified,False
100159,Anna,Jansen,user100159@example.com,Netherlands,Amsterdam,2022-01-21,19,Male,Employed,12696.97,Student,Verified,False
100160,Sara,Andersson,user100160@example.com,Netherlands,Berlin,2022-03-31,48,Male,Self-employed,48977.57,Mass Market,Verified,False
100161,Finn,Dubois,user100161@example.com,Portugal,Madrid,2023-07-02,44,Female,Employed,26339.37,Mass Market,,False
100162,Anna,Nowak,user100162@example.com,Poland,Amsterdam,2022-08-27,22,Female,,17733.54,Student,Verified,False
100163,Sara,Rossi,user100163@example.com,Belgium,Warsaw,2023-10-31,31,Male,Retired,50577.63,Young Professional,Verified,False
100164,Liam,Smit,user100164@example.com,Italy,Warsaw,2024-09-30,45,Female,Retired,65319.43,Premium,Verified,False
100165,Mila,Garcia,user100165@example.com,Portugal,Stockholm,2023-05-25,80,Female,Employed,27462.79,Retiree,Verified,False
100166,Julia,Martin,user100166@example.com,Spain,Brussels,2023-08-22,36,Female,Employed,24028.45,Mass Market,Verified,False
100167,Daan,Jansen,user100167@example.com,Ireland,Amsterdam,2024-03-01,74,Male,Retired,25305.86,Retiree,Pending,False
100168,Sofia,Jansen,user100168@example.com,Netherlands,Milan,2024-08-15,64,Female,Employed,,Mass Market,Rejected,False
100169,Sara,Nowak,user100169@example.com,Netherlands,Warsaw,2023-03-20,26,Female,Employed,62968.44,Young Professional,Verified,False
100170,Julia,Rossi,user100170@example.com,Netherlands,Rotterdam,2022-01-29,29,Female,Unemployed,41319.85,Mass Market,Verified,False
100171,Liam,Martin,user100171@example.com,Netherlands,Amsterdam,2024-10-01,31,Female,Employed,24663.98,Young Professional,Verified,False
100172,Noah,Andersson,user100172@example.com,Poland,Rotterdam,2022-04-12,25,Female,Self-employed,8945.19,Student,Verified,False
100173,Leo,Martin,user100173@example.com,Netherlands,Berlin,2024-02-10,32,Female,Self-employed,56807.82,Young Professional,Verified,False
100174,Anna,Smit,user100174@example.com,France,Paris,2022-05-07,35,Male,Student,42071.23,Young Professional,Verified,False
100175,Lucas,Silva,user100175@example.com,Netherlands,Paris,2024-10-28,31,Female,Employed,37336.57,Mass Market,Pending,False
100176,Daan,Muller,user100176@example.com,Germany,Brussels,2022-07-27,51,Female,Self-employed,24700.79,Mass Market,Verified,False
100177,Liam,Andersson,user100177@example.com,Germany,Warsaw,2022-09-12,24,Male,Employed,46836.38,Young Professional,Verified,False
100178,Lucas,Smit,user100178@example.com,Holland,Rotterdam,2022-08-29,48,Female,Retired,123012.17,Premium,Verified,False
100179,Emma,Muller,user100179@example.com,Belgium,Brussels,2022-08-23,78,Female,Self-employed,24407.74,Retiree,Verified,False
100180,Finn,Andersson,user100180@example.com,Belgium,Madrid,2023-10-15,29,Male,Retired,63457.39,SMB Owner,Verified,False
100181,Anna,Andersson,user100181@example.com,Germany,Stockholm,2022-03-06,45,Female,Employed,88250.58,SMB Owner,Verified,False
100182,Liam,Martin,user100182@example.com,France,Dublin,2022-02-11,77,Female,Employed,18969.1,Retiree,Verified,False
100183,Finn,Jansen,user100183@example.com,Netherlands,Berlin,2023-07-22,25,Male,Self-employed,16014.01,Student,Verified,False
100184,Leo,Rossi,user100184@example.com,Netherlands,Warsaw,2024-03-07,30,Male,Retired,12694.09,Mass Market,Verified,False
100185,Finn,Garcia,user100185@example.com,Germany,Brussels,2024-02-07,25,Female,Employed,,Student,Verified,False
100186,Sara,Andersson,user100186@example.com,Deutschland,Brussels,2024-04-11,21,Female,,12569.42,Student,Verified,False
100187,Emma,Smit,user100187@example.com,Netherlands,Madrid,2024-07-03,42,Male,Retired,45696.46,Mass Market,Verified,False
100188,Mila,Jansen,user100188@example.com,Poland,Warsaw,2022-11-05,63,Male,Self-employed,28642.08,Mass Market,Verified,False
100189,Noah,Jansen,user100189@example.com,PT,Amsterdam,2024-03-27,42,Female,Employed,134398.36,SMB Owner,Verified,False
100190,Sofia,Smit,user100190@example.com,NL,Amsterdam,2024-11-01,32,Female,Employed,74292.86,Young Professional,Pending,False
100191,Noah,Jansen,user100191@example.com,Germany,Brussels,2022-06-04,42,Male,Employed,48680.57,SMB Owner,Verified,False
100192,Lucas,Andersson,user100192@example.com,Netherlands,Milan,2023-08-11,31,Female,Student,60223.79,Mass Market,Verified,False
100193,Julia,Muller,user100193@example.com,Belgium,Warsaw,2023-05-30,28,Male,Employed,60659.12,Young Professional,Verified,False
100194,Anna,Dubois,user100194@example.com,Netherlands,Amsterdam,2023-06-07,22,,Employed,37087.1,Mass Market,Verified,False
100195,Daan,Nowak,user100195@example.com,Belgium,Berlin,2024-08-09,24,Male,Employed,40898.93,Young Professional,Verified,False
100196,Julia,Garcia,user100196@example.com,Poland,Dublin,2022-07-04,27,Female,Retired,45508.7,Young Professional,Pending,False
100197,Mila,Muller,user100197@example.com,Germany,Berlin,2022-08-04,23,,Employed,,Student,Verified,False
100198,Emma,Nowak,user100198@example.com,France,Rotterdam,2022-09-08,35,Male,Student,29368.13,Young Professional,Verified,False
100199,Mila,Rossi,user100199@example.com,Spain,Dublin,2023-12-12,30,Male,Employed,48072.97,Young Professional,Verified,False
100200,Leo,Dubois,user100200@example.com,Italy,Berlin,2022-02-25,21,Female,Employed,10609.52,Student,Verified,False
100201,Anna,Andersson,user100201@example.com,Netherlands,Brussels,2024-02-06,53,Female,Employed,27661.84,Mass Market,Verified,False
100202,Leo,Martin,user100202@example.com,France,Stockholm,2024-04-21,36,Male,Employed,40110.84,Young Professional,Verified,False
100203,Leo,Rossi,user100203@example.com,Poland,Madrid,2022-12-16,33,Other,Employed,25136.18,Mass Market,Verified,False
100204,Mila,Garcia,user100204@example.com,Spain,Stockholm,2024-04-15,37,Female,,45144.46,Mass Market,Verified,False
100205,Noah,Silva,user100205@example.com,Germany,Amsterdam,2024-09-08,23,Female,Employed,12504.74,Student,Verified,False
100206,Leo,Nowak,user100206@example.com,France,Warsaw,2022-05-06,28,Female,Student,31969.34,Mass Market,Verified,False
100207,Julia,Silva,user100207@example.com,France,Madrid,2024-03-31,81,Male,Retired,33363.0,Retiree,Verified,False
100208,Noah,Muller,user100208@example.com,France,Paris,2022-07-30,78,Female,Self-employed,40519.7,Retiree,Verified,False
100209,Sofia,Jansen,user100209@example.com,Netherlands,Berlin,2023-09-22,76,Male,Student,18029.49,Retiree,Verified,False
100210,Anna,Muller,user100210@example.com,Sweden,Amsterdam,2022-01-30,65,Male,Employed,114409.06,Premium,Verified,False
100211,Noah,Nowak,user100211@example.com,Poland,Amsterdam,2023-07-13,60,Female,Employed,36153.4,Mass Market,Verified,False
100212,Lucas,Silva,user100212@example.com,Germany,Paris,2023-04-16,62,Male,Employed,,Retiree,Verified,False
100213,Lucas,Silva,user100213@example.com,ES,Stockholm,2023-06-27,49,Female,Employed,,Mass Market,Verified,False
100214,Daan,Garcia,user100214@example.com,Holland,Paris,2022-11-11,37,Female,Employed,37615.39,Mass Market,Verified,False
100215,Mila,Andersson,user100215@example.com,SE,Warsaw,2024-06-05,19,Female,,,Student,Verified,False
100216,Anna,Dubois,user100216@example.com,Italy,Stockholm,2022-03-06,22,Female,Employed,12961.06,Student,Verified,False
100217,Julia,Smit,user100217@example.com,Spain,Milan,2023-04-28,51,Female,Student,42359.38,Mass Market,Verified,False
100218,Sara,Silva,user100218@example.com,Italy,Rotterdam,2022-10-23,40,Female,Student,25475.58,Mass Market,Verified,False
100219,Lucas,Dubois,user100219@example.com,Netherlands,Dublin,2022-03-10,47,Male,Employed,28467.51,Mass Market,Verified,False
100220,Sofia,Jansen,user100220@example.com,Germany,Madrid,2024-07-07,36,Female,Employed,48811.89,Young Professional,Pending,False
100221,Emma,Muller,user100221@example.com,Netherlands,Warsaw,2024-06-29,25,Male,Student,,Young Professional,Verified,False
100222,Daan,Martin,user100222@example.com,Spain,Brussels,2023-09-10,24,Female,Retired,38995.99,Mass Market,Verified,False
100223,Anna,Rossi,user100223@example.com,Netherlands,Berlin,2023-04-11,22,Male,Employed,18450.94,Student,Verified,False
100224,Finn,Muller,user100224@example.com,Ireland,Stockholm,2023-05-19,50,Male,Employed,84561.69,Premium,Verified,False
